name	gender	region	1920	1925	1930	1935	1940	1945	1950	1955	1960	1965	1970	1975	1980	1985	1990	1995	2000	2005	2010	2015	2020
DĀVIS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	100	42	8	19	18	37	46	65
DEIVIDS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	81	88	81	76
DENISS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	59	21	18	20	23	21	24	32	49	81
DMITRIJS	boys	latvia	0	0	0	0	0	0	92	89	86	52	31	10	7	7	7	11	20	23	26	43	68
DOMINIKS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	25	14
EDGARS	boys	latvia	19	19	18	25	30	34	40	32	33	36	18	12	12	3	2	3	9	20	31	52	79
EDUARDS	boys	latvia	13	13	22	26	32	33	55	62	52	43	36	44	58	52	44	40	31	37	43	39	54
EDVARDS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	58	42	29	31	38
EMĪLS	boys	latvia	83	0	0	0	0	0	0	0	0	0	0	0	0	0	67	13	10	12	9	6	5
ERNESTS	boys	latvia	22	28	42	69	77	90	0	0	0	0	0	0	0	0	0	0	73	47	22	15	12
EVERTS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	32
ĒRIKS	boys	latvia	54	37	34	34	23	22	23	24	31	32	40	52	63	66	50	35	30	50	73	77	89
GABRIELS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	44	28
GUSTAVS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	29	3	2	4
HARALDS	boys	latvia	0	68	69	66	76	87	87	90	0	0	0	0	0	0	0	0	0	0	91	53	51
HENRIJS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	71	61	41
HUGO	boys	latvia	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	33
