name	gender	region	1920	1925	1930	1935	1940	1945	1950	1955	1960	1965	1970	1975	1980	1985	1990	1995	2000	2005	2010	2015	2020
ADELE	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	49
ADELĪNA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	42
ADRIANA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	61	66	78
ADRIJA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	71
AGATE	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	81	77	78	63
ALEKSANDRA	girls	latvia	33	47	47	64	76	76	78	99	0	0	0	0	68	39	28	26	20	23	26	34	40
ALISA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	66	40	39	21
ALISE	girls	latvia	75	90	0	0	0	0	0	0	0	0	0	0	0	90	50	19	11	6	4	4	3
ALĪNA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	99	71	36	34	37	46	65	69	93
AMANDA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	12	13	23	26	36
AMĒLIJA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	20	6
ANASTASIJA	girls	latvia	32	42	31	41	48	63	75	0	0	0	0	0	75	29	15	5	1	1	5	12	35
ANCE	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	47	47	46	55
ANETE	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	58	27	21	33	39	43	50	67
ANNA	girls	latvia	1	1	1	1	1	2	3	7	21	44	51	30	26	11	5	3	4	3	3	5	4
ANNIJA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	30	27	31	38	52
ARINA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	45	33	30	47
BEATRISE	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	81	0	70
BEĀTE	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	53	58	64	52	59
DANIELA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	14	28	75	85
DARINA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	76
DARJA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	96	60	49	29	19	19	25	77
DĀRTA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	74	39	13	10
ELIZABETE	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	13	10	9	7	9
ELĪNA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	76	31	10	2	4	6	12	25	32	58
ELĪZA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	35	29	17	21	31
ELZA	girls	latvia	5	15	36	59	77	0	0	0	0	0	0	0	0	0	0	83	55	54	22	9	12
EMĪLIJA	girls	latvia	13	22	26	38	58	94	0	0	0	0	0	0	0	0	0	0	58	25	10	2	2
EMMA	girls	latvia	31	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	8
ENIJA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	38	28	39
ESTERE	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	30	16	14	11
EVA	girls	latvia	0	0	0	0	0	0	0	0	0	0	88	66	58	62	69	53	56	61	50	41	20
EVELĪNA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	40	5	7	11	22
GABRIELA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	29	16	17
HANNA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	29
IEVA	girls	latvia	0	0	0	0	74	83	97	98	85	65	37	16	14	16	3	11	15	34	34	42	50
JANA	girls	latvia	0	0	0	0	0	0	0	0	0	92	52	40	41	38	29	31	41	44	62	81	96
JASMĪNA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	75
JUSTĪNE	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	90	82	65	69	73	87
KARLĪNA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	58	36	44
KAROLINA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	96	97
KAROLĪNA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	54	80
KATE	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	35	37	37
KATRĪNA	girls	latvia	67	97	0	0	0	0	0	0	0	0	0	0	0	0	59	23	10	8	8	10	16
KEITA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	50	21	18	18
KIRA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	63	48
KSENIJA	girls	latvia	83	0	0	0	0	0	0	0	0	0	0	0	0	89	67	51	44	20	24	27	57
LAUMA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	61	83	98	75	58	69
MILANA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	48	27	23	24
NIKOLA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	17	15	19	28
